DEBUG: Starting main...
DEBUG: Loading tokens...
DEBUG: Loaded tokens from data/tinystories/train_tokens.npy, shape=(64064,)
DEBUG: Creating context with param_span=24674304...
DEBUG: Context created. big_rand stats: mean=0.0000, max=86, min=-84, nonzeros=23446298
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47008.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41792.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41376.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44896.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47008.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47264.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46816.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45280.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55808.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50304.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47104.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50112.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47904.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49600.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49664.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60960.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54880.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48160.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50784.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48544.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47136.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47264.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54656.0
